,amt_training_data,classifier_name,feature_name,feature_selector,result,split
86,0.1,Naive Bayes,ngrams,None,0.6647398843930635,1
87,0.1,LDA,ngrams,None,0.5086705202312138,1
88,0.2,Nearest Neighbors,ngrams,None,0.6011560693641619,1
89,0.2,Linear SVM,ngrams,None,0.7283236994219653,1
90,0.2,RBF SVM,ngrams,None,0.35260115606936415,1
91,0.2,Decision Tree,ngrams,None,0.6705202312138728,1
92,0.2,Random Forest,ngrams,None,0.36416184971098264,1
93,0.2,AdaBoost,ngrams,None,0.6358381502890174,1
94,0.2,Naive Bayes,ngrams,None,0.6416184971098265,1
95,0.2,LDA,ngrams,None,0.6127167630057804,1
96,0.30000000000000004,Nearest Neighbors,ngrams,None,0.6358381502890174,1
97,0.30000000000000004,Linear SVM,ngrams,None,0.7630057803468208,1
98,0.30000000000000004,RBF SVM,ngrams,None,0.35260115606936415,1
99,0.30000000000000004,Decision Tree,ngrams,None,0.7225433526011561,1
100,0.30000000000000004,Random Forest,ngrams,None,0.3699421965317919,1
101,0.30000000000000004,AdaBoost,ngrams,None,0.6473988439306358,1
102,0.30000000000000004,Naive Bayes,ngrams,None,0.6936416184971098,1
103,0.30000000000000004,LDA,ngrams,None,0.653179190751445,1
104,0.4,Nearest Neighbors,ngrams,None,0.6127167630057804,1
105,0.4,Linear SVM,ngrams,None,0.7283236994219653,1
106,0.4,RBF SVM,ngrams,None,0.35260115606936415,1
107,0.4,Decision Tree,ngrams,None,0.7283236994219653,1
108,0.4,Random Forest,ngrams,None,0.3815028901734104,1
109,0.4,AdaBoost,ngrams,None,0.5144508670520231,1
110,0.4,Naive Bayes,ngrams,None,0.6763005780346821,1
111,0.4,LDA,ngrams,None,0.6416184971098265,1
112,0.5,Nearest Neighbors,ngrams,None,0.6705202312138728,1
113,0.5,Linear SVM,ngrams,None,0.7514450867052023,1
114,0.5,RBF SVM,ngrams,None,0.35260115606936415,1
115,0.5,Decision Tree,ngrams,None,0.6878612716763006,1
116,0.5,Random Forest,ngrams,None,0.3583815028901734,1
117,0.5,AdaBoost,ngrams,None,0.6184971098265896,1
118,0.5,Naive Bayes,ngrams,None,0.6878612716763006,1
119,0.5,LDA,ngrams,None,0.6127167630057804,1
120,0.6,Nearest Neighbors,ngrams,None,0.6416184971098265,1
121,0.6,Linear SVM,ngrams,None,0.815028901734104,1
122,0.6,RBF SVM,ngrams,None,0.35260115606936415,1
123,0.6,Decision Tree,ngrams,None,0.7052023121387283,1
124,0.6,Random Forest,ngrams,None,0.3699421965317919,1
125,0.6,AdaBoost,ngrams,None,0.6647398843930635,1
126,0.6,Naive Bayes,ngrams,None,0.7514450867052023,1
127,0.6,LDA,ngrams,None,0.5953757225433526,1
128,0.7000000000000001,Nearest Neighbors,ngrams,None,0.630057803468208,1
129,0.7000000000000001,Linear SVM,ngrams,None,0.8034682080924855,1
130,0.7000000000000001,RBF SVM,ngrams,None,0.35260115606936415,1
131,0.7000000000000001,Decision Tree,ngrams,None,0.7167630057803468,1
132,0.7000000000000001,Random Forest,ngrams,None,0.3699421965317919,1
133,0.7000000000000001,AdaBoost,ngrams,None,0.6705202312138728,1
134,0.7000000000000001,Naive Bayes,ngrams,None,0.6589595375722543,1
135,0.7000000000000001,LDA,ngrams,None,0.5433526011560693,1
136,0.8,Nearest Neighbors,ngrams,None,0.6416184971098265,1
137,0.8,Linear SVM,ngrams,None,0.8034682080924855,1
138,0.8,RBF SVM,ngrams,None,0.35260115606936415,1
139,0.8,Decision Tree,ngrams,None,0.7167630057803468,1
140,0.8,Random Forest,ngrams,None,0.3699421965317919,1
141,0.8,AdaBoost,ngrams,None,0.6994219653179191,1
142,0.8,Naive Bayes,ngrams,None,0.7167630057803468,1
143,0.8,LDA,ngrams,None,0.48554913294797686,1
144,0.9,Nearest Neighbors,ngrams,None,0.6820809248554913,1
145,0.9,Linear SVM,ngrams,None,0.7687861271676301,1
146,0.9,RBF SVM,ngrams,None,0.35260115606936415,1
147,0.9,Decision Tree,ngrams,None,0.7225433526011561,1
148,0.9,Random Forest,ngrams,None,0.3815028901734104,1
149,0.9,AdaBoost,ngrams,None,0.6994219653179191,1
150,0.9,Naive Bayes,ngrams,None,0.7398843930635838,1
151,0.9,LDA,ngrams,None,0.5838150289017341,1
152,1.0,Nearest Neighbors,ngrams,None,0.6820809248554913,1
153,1.0,Linear SVM,ngrams,None,0.7861271676300579,1
154,1.0,RBF SVM,ngrams,None,0.35260115606936415,1
155,1.0,Decision Tree,ngrams,None,0.7109826589595376,1
156,1.0,Random Forest,ngrams,None,0.36416184971098264,1
157,1.0,AdaBoost,ngrams,None,0.6358381502890174,1
158,1.0,Naive Bayes,ngrams,None,0.7283236994219653,1
159,1.0,LDA,ngrams,None,0.47398843930635837,1
160,0.1,Nearest Neighbors,ngrams,None,0.5028901734104047,2
161,0.1,Linear SVM,ngrams,None,0.6994219653179191,2
162,0.1,RBF SVM,ngrams,None,0.35260115606936415,2
163,0.1,Decision Tree,ngrams,None,0.5838150289017341,2
164,0.1,Random Forest,ngrams,None,0.35260115606936415,2
165,0.1,AdaBoost,ngrams,None,0.5317919075144508,2
