,amount,feature_name,result,split
108,0.2,+ave_word_length,0.6936416184971098,2
109,0.2,+all_words_in_dict,0.6994219653179191,2
110,0.30000000000000004,ngrams,0.6473988439306358,2
111,0.30000000000000004,+has_malay_road_tag,0.6705202312138728,2
112,0.30000000000000004,+num_words,0.6705202312138728,2
113,0.30000000000000004,+ave_word_length,0.6936416184971098,2
114,0.30000000000000004,+all_words_in_dict,0.7341040462427746,2
115,0.4,ngrams,0.6473988439306358,2
116,0.4,+has_malay_road_tag,0.6589595375722543,2
117,0.4,+num_words,0.6589595375722543,2
118,0.4,+ave_word_length,0.6647398843930635,2
119,0.4,+all_words_in_dict,0.7283236994219653,2
120,0.5,ngrams,0.6763005780346821,2
121,0.5,+has_malay_road_tag,0.7109826589595376,2
122,0.5,+num_words,0.7052023121387283,2
123,0.5,+ave_word_length,0.7109826589595376,2
124,0.5,+all_words_in_dict,0.7283236994219653,2
125,0.6,ngrams,0.6936416184971098,2
126,0.6,+has_malay_road_tag,0.7341040462427746,2
127,0.6,+num_words,0.7341040462427746,2
128,0.6,+ave_word_length,0.7052023121387283,2
129,0.6,+all_words_in_dict,0.7398843930635838,2
130,0.7000000000000001,ngrams,0.7052023121387283,2
131,0.7000000000000001,+has_malay_road_tag,0.7283236994219653,2
132,0.7000000000000001,+num_words,0.7398843930635838,2
133,0.7000000000000001,+ave_word_length,0.7398843930635838,2
134,0.7000000000000001,+all_words_in_dict,0.7630057803468208,2
135,0.8,ngrams,0.6936416184971098,2
136,0.8,+has_malay_road_tag,0.7283236994219653,2
137,0.8,+num_words,0.7225433526011561,2
138,0.8,+ave_word_length,0.7167630057803468,2
139,0.8,+all_words_in_dict,0.7456647398843931,2
140,0.9,ngrams,0.6820809248554913,2
141,0.9,+has_malay_road_tag,0.7225433526011561,2
142,0.9,+num_words,0.7225433526011561,2
143,0.9,+ave_word_length,0.7283236994219653,2
144,0.9,+all_words_in_dict,0.7341040462427746,2
145,1.0,ngrams,0.7283236994219653,2
146,1.0,+has_malay_road_tag,0.7283236994219653,2
147,1.0,+num_words,0.7456647398843931,2
148,1.0,+ave_word_length,0.7456647398843931,2
149,1.0,+all_words_in_dict,0.7687861271676301,2
150,0.1,ngrams,0.5838150289017341,3
151,0.1,+has_malay_road_tag,0.6184971098265896,3
152,0.1,+num_words,0.6127167630057804,3
153,0.1,+ave_word_length,0.6473988439306358,3
154,0.1,+all_words_in_dict,0.6416184971098265,3
155,0.2,ngrams,0.6358381502890174,3
156,0.2,+has_malay_road_tag,0.6820809248554913,3
157,0.2,+num_words,0.6705202312138728,3
158,0.2,+ave_word_length,0.6705202312138728,3
159,0.2,+all_words_in_dict,0.7167630057803468,3
160,0.30000000000000004,ngrams,0.6127167630057804,3
161,0.30000000000000004,+has_malay_road_tag,0.6358381502890174,3
162,0.30000000000000004,+num_words,0.6358381502890174,3
163,0.30000000000000004,+ave_word_length,0.6705202312138728,3
164,0.30000000000000004,+all_words_in_dict,0.7052023121387283,3
165,0.4,ngrams,0.6763005780346821,3
166,0.4,+has_malay_road_tag,0.7052023121387283,3
167,0.4,+num_words,0.7052023121387283,3
168,0.4,+ave_word_length,0.7109826589595376,3
169,0.4,+all_words_in_dict,0.7456647398843931,3
170,0.5,ngrams,0.6878612716763006,3
171,0.5,+has_malay_road_tag,0.7167630057803468,3
172,0.5,+num_words,0.7225433526011561,3
173,0.5,+ave_word_length,0.7225433526011561,3
174,0.5,+all_words_in_dict,0.7572254335260116,3
175,0.6,ngrams,0.6994219653179191,3
176,0.6,+has_malay_road_tag,0.7109826589595376,3
177,0.6,+num_words,0.7109826589595376,3
178,0.6,+ave_word_length,0.7283236994219653,3
179,0.6,+all_words_in_dict,0.7572254335260116,3
180,0.7000000000000001,ngrams,0.653179190751445,3
181,0.7000000000000001,+has_malay_road_tag,0.6763005780346821,3
182,0.7000000000000001,+num_words,0.6820809248554913,3
183,0.7000000000000001,+ave_word_length,0.6878612716763006,3
184,0.7000000000000001,+all_words_in_dict,0.7630057803468208,3
185,0.8,ngrams,0.6936416184971098,3
186,0.8,+has_malay_road_tag,0.7109826589595376,3
187,0.8,+num_words,0.7052023121387283,3
188,0.8,+ave_word_length,0.7167630057803468,3
189,0.8,+all_words_in_dict,0.7514450867052023,3
190,0.9,ngrams,0.6994219653179191,3
191,0.9,+has_malay_road_tag,0.7052023121387283,3
192,0.9,+num_words,0.7109826589595376,3
193,0.9,+ave_word_length,0.7167630057803468,3
194,0.9,+all_words_in_dict,0.7572254335260116,3
195,1.0,ngrams,0.6763005780346821,3
196,1.0,+has_malay_road_tag,0.7052023121387283,3
197,1.0,+num_words,0.7052023121387283,3
198,1.0,+ave_word_length,0.7109826589595376,3
199,1.0,+all_words_in_dict,0.7514450867052023,3
200,0.1,ngrams,0.5433526011560693,4
201,0.1,+has_malay_road_tag,0.630057803468208,4
202,0.1,+num_words,0.6242774566473989,4
203,0.1,+ave_word_length,0.6358381502890174,4
204,0.1,+all_words_in_dict,0.653179190751445,4
205,0.2,ngrams,0.6647398843930635,4
206,0.2,+has_malay_road_tag,0.6820809248554913,4
207,0.2,+num_words,0.6936416184971098,4
208,0.2,+ave_word_length,0.6763005780346821,4
209,0.2,+all_words_in_dict,0.6820809248554913,4
210,0.30000000000000004,ngrams,0.6820809248554913,4
211,0.30000000000000004,+has_malay_road_tag,0.6936416184971098,4
212,0.30000000000000004,+num_words,0.6936416184971098,4
213,0.30000000000000004,+ave_word_length,0.6878612716763006,4
214,0.30000000000000004,+all_words_in_dict,0.7514450867052023,4
215,0.4,ngrams,0.6820809248554913,4
216,0.4,+has_malay_road_tag,0.6936416184971098,4
217,0.4,+num_words,0.6936416184971098,4
218,0.4,+ave_word_length,0.6878612716763006,4
219,0.4,+all_words_in_dict,0.7109826589595376,4
220,0.5,ngrams,0.6820809248554913,4
221,0.5,+has_malay_road_tag,0.7052023121387283,4
