Stangee 	1 	7.0 	0
Inner Temple 	0 	5.5 	1
Swallow 	0 	7.0 	1
Liang Seah 	0 	4.5 	0
Bond 	0 	4.0 	1
Bukit Ho Swee 	1 	3.66666666667 	0
Sultan 	0 	6.0 	1
Canning 	0 	7.0 	1
Transit 	0 	7.0 	1
Bunga Raya 	1 	4.5 	0
Cashew 	0 	6.0 	1
Amoy 	0 	4.0 	0
Mandai 	0 	6.0 	0
Somme 	0 	5.0 	0
Rambai 	0 	6.0 	0
Keppel 	0 	6.0 	0
Coniston 	0 	8.0 	0
Tannery 	0 	7.0 	1
Selarang 	0 	8.0 	0
Geneng 	1 	6.0 	0
Hylam 	0 	5.0 	0
Pasir Panjang RoadView 	0 	6.66666666667 	0
Everitt 	0 	7.0 	0
Binchang 	1 	8.0 	0
Coast 	0 	5.0 	1
Read 	0 	4.0 	1
Sarum 	0 	5.0 	0
Sixth 	0 	5.0 	1
Evergreen 	0 	9.0 	1
Baker 	0 	5.0 	1
Admiralty 	0 	9.0 	1
Robin 	0 	5.0 	1
Mountbatten 	0 	11.0 	0
Goodman 	0 	7.0 	1
Kelulut 	1 	7.0 	0
Meng Suan 	0 	4.0 	0
Manis 	1 	5.0 	0
Butterfly 	0 	9.0 	1
Batu Nilam 	1 	4.5 	0
Keria 	1 	5.0 	0
Turut 	0 	5.0 	0
Munshi Abdullah 	0 	7.0 	0
Taman 	1 	5.0 	0
Bahru 	1 	5.0 	0
Grace 	0 	5.0 	1
Lasia 	0 	5.0 	0
St. Thomas 	0 	4.5 	0
Seton 	0 	5.0 	1
Amberwood 	0 	9.0 	0
Toh Yi 	0 	2.5 	0
Nassim 	0 	6.0 	0
Salang 	1 	6.0 	0
Croucher 	0 	8.0 	1
Chiselhurst 	0 	11.0 	0
Pelatok 	1 	7.0 	0
Joo Chiat 	0 	4.0 	0
Rumah Tinggi 	1 	5.5 	0
Change Alley 	0 	5.5 	1
Tenteram 	1 	8.0 	0
Branksome 	0 	9.0 	0
Tessensohn 	0 	10.0 	0
Hindoo 	0 	6.0 	0
Chin 	0 	4.0 	1
Uji 	1 	3.0 	0
Edinburgh 	0 	9.0 	0
Bengkok 	1 	7.0 	0
Satu 	1 	4.0 	0
Keruing 	1 	7.0 	0
Tukol 	1 	5.0 	0
Kim Chuan 	0 	4.0 	0
Enterprise 	0 	10.0 	1
Swanage 	0 	7.0 	0
Thrift 	0 	6.0 	1
Setia 	1 	5.0 	0
Island 	0 	6.0 	1
Compassvale 	0 	11.0 	0
Teliti 	1 	6.0 	0
Robey 	0 	5.0 	0
Nam Seng 	1 	3.5 	0
Ahmad Ibrahim 	1 	6.0 	0
Emerald 	0 	7.0 	1
Sherwood 	0 	8.0 	0
Circuit 	0 	7.0 	1
Casuarina 	0 	9.0 	1
Greendale 	0 	9.0 	0
Tapisan 	1 	7.0 	0
Derbyshire 	0 	10.0 	0
Chempaka Puteh 	1 	6.5 	0
Birdcage 	0 	8.0 	1
Nelson 	0 	6.0 	1
Padang Chancery 	0 	7.0 	1
Pelikat 	1 	7.0 	0
Leuchars 	0 	8.0 	0
Afifi 	1 	5.0 	0
Hacienda 	0 	8.0 	1
How Sun 	0 	3.0 	1
Mayflower 	0 	9.0 	1
Lateh 	1 	5.0 	0
Angus 	0 	5.0 	0
Yew Tee 	0 	3.0 	1
Woollerton 	0 	10.0 	0
Hari Raya 	1 	4.0 	0
Keong Saik 	0 	4.5 	0
Kilang Timor 	1 	5.5 	0
Sembawang 	0 	9.0 	0
Derum 	1 	5.0 	0
Sungei Kadut 	0 	5.5 	0
Ulu Pandan 	0 	4.5 	0
Pasir Laba 	0 	4.5 	0
Hiboran 	1 	7.0 	0
Faber 	0 	5.0 	0
Jurong Port 	0 	5.0 	0
Daud 	1 	4.0 	1
Winstedt 	0 	8.0 	0
Pisang Asam 	1 	5.0 	0
Neo Tiew 	0 	3.5 	0
Bin Tong 	0 	3.5 	1
Paterson 	0 	8.0 	0
Lighthouse 	0 	10.0 	1
Robinson 	0 	8.0 	0
Prince Edward 	0 	6.0 	0
Lim Teck Kim 	0 	3.33333333333 	0
Ean Kiam 	0 	3.5 	0
Lapang 	1 	6.0 	0
Narooma 	0 	7.0 	0
Sungei 	1 	6.0 	0
Ridley 	0 	6.0 	1
Besar 	1 	5.0 	0
Limau Purut 	1 	5.0 	0
Duchess 	0 	7.0 	1
Wolskel 	0 	7.0 	0
Tukang 	1 	6.0 	0
Wareham 	0 	7.0 	0
Kampong Arang 	0 	6.0 	0
Cotswold 	0 	8.0 	0
Regent 	0 	6.0 	1
Tukang Dua 	1 	4.5 	0
Kee Choe 	0 	3.5 	0
Lompang 	0 	7.0 	0
Cumming 	0 	7.0 	1
Lengkok Sembawang 	1 	8.0 	0
Ghim Moh 	0 	3.5 	0
Boscombe 	0 	8.0 	0
Ee Teow Leng 	0 	3.33333333333 	0
Peirce 	0 	6.0 	0
Korma 	1 	5.0 	1
Mahir 	1 	5.0 	0
Ettrick 	0 	7.0 	0
Geylang Serai 	0 	6.0 	0
Jedburgh 	0 	8.0 	0
Bishopsgate 	0 	11.0 	0
Cambridge 	0 	9.0 	0
Changi 	1 	6.0 	0
Tanjong Kling 	0 	6.0 	0
Harper 	0 	6.0 	1
Tai Yuan 	0 	3.5 	1
White House 	0 	5.0 	1
Tanah Merah Ferry 	0 	5.0 	0
Bhamo 	0 	5.0 	0
Harbour 	0 	7.0 	0
Puteh Jula Juli 	1 	4.33333333333 	0
Wilkinson 	0 	9.0 	0
Tyersall 	0 	8.0 	0
Mastuli 	1 	7.0 	0
Kelopak 	0 	7.0 	0
Malta 	0 	5.0 	0
Kwok Min 	1 	3.5 	0
Scotts 	0 	6.0 	0
Stirling 	0 	8.0 	0
Kerayong 	1 	8.0 	0
Swiss Cottage 	0 	6.0 	1
Carmichael 	0 	10.0 	0
Bena 	1 	4.0 	0
Durban 	0 	6.0 	0
Siglap 	0 	6.0 	0
Boulevard 	0 	9.0 	1
Fidelio 	0 	7.0 	0
Siloso 	0 	6.0 	0
Chapel 	0 	6.0 	1
Chengai 	1 	7.0 	0
Bedok 	1 	5.0 	0
Geylang 	0 	7.0 	0
Finlayson 	0 	9.0 	0
Kirk 	0 	4.0 	0
Chu Yen 	0 	3.0 	0
Suasa 	1 	5.0 	0
Lye Kwee 	1 	3.5 	0
St. Nicholas 	0 	5.5 	0
Airport Cargo 	0 	6.0 	1
Asas 	1 	4.0 	0
Terigu 	1 	6.0 	0
Salleh 	1 	6.0 	0
Lewis 	0 	5.0 	1
Maida 	0 	5.0 	0
Andover 	0 	7.0 	0
Gimbul 	1 	6.0 	0
Teow Hock 	0 	4.0 	0
Cosford 	0 	7.0 	0
Kelawar 	1 	7.0 	0
Belangkas 	1 	9.0 	0
Raglan 	0 	6.0 	1
Sireh Pinang 	1 	5.5 	0
Kembangan 	1 	9.0 	0
Ernani 	0 	6.0 	0
Palmer 	0 	6.0 	1
Leng Kee 	0 	3.5 	0
Kee Sun 	0 	3.0 	0
Surrey 	0 	6.0 	1
Yee Tee 	0 	3.0 	0
Devonshire 	0 	10.0 	0
Coleman 	0 	7.0 	0
Windsor 	0 	7.0 	0
Kuras 	1 	5.0 	0
Greenleaf 	0 	9.0 	0
Aljunied 	0 	8.0 	0
Lim Ah Woo 	0 	2.66666666667 	0
Terubok 	1 	7.0 	0
Sajak 	1 	5.0 	0
Hock Chye 	1 	4.0 	0
Kempas 	0 	6.0 	0
Ubi 	0 	3.0 	0
St. Anne's 	0 	4.5 	0
Lok Yang 	0 	3.5 	0
Upavon 	0 	6.0 	0
