Science 	0	7	1	2	British
Eu Tong Sen 	0	3	0	1	Chinese
Queen's Row 	0	5	1	2	British
Mayaanam 	1	8	0	0	Malay
Sempadan 	1	8	0	0	Malay
Maryland 	0	8	0	2	British
Eden 	0	4	0	2	British
Bloxhome 	0	8	0	2	British
Orchid Club 	0	5	1	4	Generic
Lim Tai See 	0	3	0	1	Chinese
Deptford 	0	8	0	2	British
Sago 	0	4	1	4	Generic
Portchester 	0	11	0	2	British
Ma'mor 	1	6	0	0	Malay
Sing Joo 	0	3.5	0	1	Chinese
Bunga Rampai 	0	5.5	0	0	Malay
Ayer 	1	4	0	0	Malay
Kim Tian 	0	3.5	0	1	Chinese
Tanglin Halt 	0	5.5	0	1	Chinese
Park 	0	4	1	4	Generic
Amber 	0	5	1	2	British
Bukit Ho Swee 	0	3.6666666667	0	1	Chinese
Punggol Port 	0	5.5	0	2	British
Thong Soon 	0	4.5	1	1	Chinese
Tanah Rata 	1	4.5	0	0	Malay
Saraca 	0	6	0	2	British
Sungei Tengah 	0	6	0	1	Chinese
Marshall 	0	8	1	2	British
Cheviot 	0	7	1	4	Generic
Sungei 	0	6	0	0	Malay
Pioneer 	0	7	1	2	British
Margoliouth 	0	11	0	2	British
Dahan 	0	5	0	0	Malay
Broadrick 	0	9	0	2	British
Allenby 	0	7	0	2	British
Frankel 	0	7	0	2	British
Expo 	0	4	1	2	British
Mount Emily 	0	5	0	2	British
Nallur 	0	6	0	5	Other
Alnwick 	0	7	0	2	British
Harum 	1	5	0	0	Malay
Limau 	0	5	0	0	Malay
Crowhurst 	0	9	0	2	British
Sea Breeze 	0	4.5	1	2	British
Boon Leat 	0	4	1	1	Chinese
Hume 	0	4	0	2	British
Stone 	0	5	1	2	British
Rengas 	1	6	1	0	Malay
Chin Chew 	0	4	1	1	Chinese
Law 	0	3	1	4	Generic
Leyden 	0	6	0	2	British
Ganges 	0	6	0	0	Malay
Engku Aman 	0	4.5	0	0	Malay
Pari Dedap 	1	4.5	0	0	Malay
Kuning 	1	6	0	0	Malay
Garage 	0	6	1	4	Generic
Menarong 	1	8	0	0	Malay
Saujana 	0	7	0	5	Other
Tanjong Katong 	0	6.5	0	0	Malay
Hong San 	0	3.5	1	1	Chinese
Tank 	0	4	1	4	Generic
Gunner 	0	6	1	4	Generic
Prome 	0	5	0	2	British
Berwick 	0	7	0	2	British
Grange 	0	6	1	0	Malay
Portsdown 	0	9	0	2	British
Pergam 	1	6	0	0	Malay
Mount Elizabeth 	0	7	0	2	British
Khalsa 	0	6	0	2	British
Eastwood 	0	8	0	2	British
				0	Malay
				2	British
				2	British
				4	Generic
				2	British
				4	Generic
				1	Chinese
				1	Chinese
				2	British
				1	Chinese
				2	British
				2	British
				2	British
				4	Generic
				4	Generic
				0	Malay
				2	British
				0	Malay
				2	British
				0	Malay
				4	Generic
				0	Malay
				2	British
				0	Malay
				0	Malay
				0	Malay
				1	Chinese
				0	Malay
				4	Generic
				0	Malay
				2	British
				2	British
				0	Malay
				0	Malay
				0	Malay
				1	Chinese
				5	Other
				1	Chinese
				0	Malay
				0	Malay
				4	Generic
				0	Malay
				4	Generic
				0	Malay
				0	Malay
				2	British
				0	Malay
				2	British
				4	Generic
				0	Malay
				1	Chinese
				2	British
				0	Malay
				4	Generic
				4	Generic
				0	Malay
				1	Chinese
				2	British
				0	Malay
				1	Chinese
				0	Malay
				1	Chinese
				0	Malay
				1	Chinese
				0	Malay
				1	Chinese
				1	Chinese
				2	British
				0	Malay
				2	British
				0	Malay
				1	Chinese
				0	Malay
				1	Chinese
				0	Malay
				2	British
				2	British
				4	Generic
				2	British
				0	Malay
				2	British
				1	Chinese
				0	Malay
				0	Malay
				1	Chinese
				2	British
				1	Chinese
				2	British
				1	Chinese
				0	Malay
				0	Malay
				2	British
				0	Malay
				2	British
				1	Chinese
				4	Generic
				0	Malay
				2	British
				5	Other
				0	Malay
				0	Malay
				2	British
				2	British
				2	British
				2	British
				2	British
				1	Chinese
