Tembusu 	1	7	0	0	Malay	
Lim Tua Tow 	0	3	0	1	Chinese	
Datoh 	1	5	0	0	Malay	
Mount Faber 	0	5	0	2	British	
Jendela 	1	7	0	0	Malay	-
Shangri-La 	0	10	0	5	Other	
Mugliston 	0	9	0	2	British	
Sesuai 	1	6	0	0	Malay	
Gardenia 	0	8	1	4	Generic	
Sandwich 	0	8	1	4	Generic	
Sirat 	0	5	0	2	British	
Cyprus 	0	6	1	4	Generic	
Hullet 	0	6	0	2	British	
Tan Kim Cheng 	0	3.6666666667	0	1	Chinese	
Chinese 	0	7	0	2	British	
Kayu Manis 	1	4.5	0	0	Malay	
Cedar 	0	5	1	4	Generic	
Awan 	1	4	0	0	Malay	
Johore 	0	6	0	2	British	
Everton 	0	7	0	2	British	
Bermuda 	0	7	0	0	Malay	
Hamilton 	0	8	0	2	British	
Eng Neo 	0	3	0	1	Chinese	
Northolt 	0	8	0	2	British	
Senang 	1	6	0	0	Malay	
Labu Ayer 	1	4	0	0	Malay	
Ubi 	1	3	0	0	Malay	
Kheam Hock 	0	4.5	0	1	Chinese	
Mydin 	1	5	0	0	Malay	
Limau 	1	5	0	0	Malay	
Yishun 	0	6	0	2	British	
Lagos 	0	5	0	2	British	
The Oval 	0	3.5	1	4	Generic	
Sabit 	1	5	0	0	Malay	
Hillside 	0	8	1	4	Generic	
Kalidasa 	0	8	0	0	Malay	
Essex 	0	5	0	2	British	
Dondang Sayang 	1	6.5	0	0	Malay	
Kim Seng 	0	3.5	0	1	Chinese	
Pisang 	1	6	0	0	Malay	
Tiverton 	0	8	0	2	British	
Tukang Empat 	1	5.5	0	0	Malay	
John 	0	4	1	4	Generic	
Toh Guan 	0	3.5	0	1	Chinese	
Kubor 	1	5	0	0	Malay	
Woodsville 	0	10	0	2	British	
Wittering 	0	9	1	4	Generic	
Labrador Villa 	0	6.5	1	4	Generic	
Boon Tat 	0	3.5	1	1	Chinese	
Seni 	1	4	0	0	Malay	
Bishopswalk 	0	11	0	2	British	
Kilang 	1	6	0	0	Malay	
Foch 	0	4	0	2	British	
Chiltern 	0	8	0	2	British	
Siap 	1	4	0	0	Malay	
Kasau 	1	5	0	0	Malay	
Barbary 	0	7	0	0	Malay	
Serapong Course 	0	7	0	1	Chinese	
MacPherson 	0	10	0	2	British	
Gambas 	0	6	1	0	Malay	
