Kallang Bahru 	0	6	0
Seaview 	1	7	0
Yung Sheng 	0	4.5	0
Telok Paku 	0	4.5	0
Daisy 	0	5	1
Marne 	0	5	0
Stratton 	0	8	0
Olive 	0	5	1
Russels 	0	7	1
Ellis 	0	5	0
Temple 	0	6	1
Jiak Kim 	0	3.5	0
Kampong Wak Hassan 	0	5.3333333333	0
Kang Choo Bin 	0	3.6666666667	0
Buroh 	0	5	0
Bakar Batu 	1	4.5	0
Terap 	1	5	0
Angin Laut 	1	4.5	0
Daffodil 	0	8	1
Tempua 	1	6	0
Mandalay 	0	8	0
Kew 	0	3	0
Raja Udang 	1	4.5	0
Rodyk 	0	5	0
Pender 	0	6	0
Panchar 	1	7	0
New 	0	3	1
King's 	0	6	1
Lakepoint 	0	9	0
Tuas 	0	4	0
Serenade 	0	8	1
Fourth 	0	6	1
Hartley 	0	7	0
Papan 	1	5	0
Martlesham 	0	10	0
Choon Guan 	0	4.5	0
Clarke 	0	6	0
Cox 	0	3	1
Nile 	0	4	0
Ponggol 	0	7	0
Kampong Kapor 	0	6	0
Caseen 	0	6	0
Kallang Tengah 	0	6.5	0
Pesari 	0	6	0
Greenbank 	0	9	0
Novena 	0	6	1
Payoh Lai 	1	4	0
Gateway 	0	7	1
Harrison 	0	8	0
Gordon 	0	6	0
Reservoir 	0	9	1
Tan Sim Boh 	0	3	1
Jansen 	0	6	0
Rutland 	0	7	0
St. Patrick's 	0	6	0
New Loyang 	0	4.5	0
Penchalak 	1	9	0
Owen 	0	4	0
Western 	0	7	1
Fiji 	0	4	0
Kingswear 	0	9	0
Melukut 	1	7	0
Bendemeer 	0	9	0
Kemboja 	1	7	0
Rosyth 	0	6	0
Craig 	0	5	1
Holland 	0	7	1
Gali Batu 	1	4	0
Cherah 	1	6	0
Institution 	0	11	1
Gosport 	0	7	1
Birch 	0	5	1
Puay Hee 	0	3.5	0
Tari Piring 	1	5	0
Braemar 	0	7	0
Keng Lee 	0	3.5	0
Hyderabad 	0	9	0
Lim Ah Pin 	0	2.6666666667	0
Boon Keng 	0	4	0
Margaret 	0	8	0
Jurong 	0	6	0
Melati 	1	6	0
Highland 	0	8	1
Tawas 	1	5	1
Tomlinson 	0	9	0
Burghley 	0	8	0
Tong Watt 	0	4	1
Peach 	0	5	1
Rochdale 	0	8	0
Winchester 	0	10	0
Bekukong 	1	8	0
Kuo Chuan 	0	4	0
Yan Kit 	0	3	0
Paras 	1	5	1
Murai 	0	5	0
