Charlton 	0 	8.0 	0
Colchester 	0 	10.0 	0
Ophir 	0 	5.0 	0
Pebble 	0 	6.0 	1
Tiong Poh 	0 	4.0 	0
Marzuki 	1 	7.0 	0
Rowell 	0 	6.0 	0
Serengam 	1 	8.0 	0
Merryn 	0 	6.0 	0
Jelebu 	0 	6.0 	0
Kampong Kayu 	0 	5.5 	0
College 	0 	7.0 	1
Walshe 	0 	6.0 	0
Port 	0 	4.0 	1
Keris 	1 	5.0 	0
Solomon 	0 	7.0 	0
Vaughan 	0 	7.0 	0
Ocean 	0 	5.0 	1
Unity 	0 	5.0 	1
Klinik 	1 	6.0 	0
Rochor Canal 	0 	5.5 	0
Melor 	1 	5.0 	0
Hougang 	0 	7.0 	0
Sejarah 	1 	7.0 	0
Mambong 	1 	7.0 	0
Tongkol 	1 	7.0 	0
Unggas 	1 	6.0 	0
Semangka 	1 	8.0 	0
Little India 	0 	5.5 	0
Tagore 	0 	6.0 	0
King Albert 	0 	5.0 	1
Eng Watt 	0 	3.5 	0
Eunos 	1 	5.0 	0
Carpmael 	0 	8.0 	0
Grove 	0 	5.0 	1
Leo 	0 	3.0 	0
Teck Kee 	1 	3.5 	0
Somerset 	0 	8.0 	1
Buffalo 	0 	7.0 	1
Rahmat 	1 	6.0 	0
Fisher 	0 	6.0 	1
Springleaf 	0 	10.0 	0
Girang 	1 	6.0 	0
Janggus 	1 	7.0 	0
Baboo 	0 	5.0 	0
Eunos 	0 	5.0 	0
Arnasalam Chetty 	0 	7.5 	0
Chuan 	1 	5.0 	0
Seng Poh 	0 	3.5 	0
Lorong Realty 	0 	6.0 	0
Sari 	1 	4.0 	1
Awang 	1 	5.0 	0
Wan Tho 	0 	3.0 	1
Beaulieu 	0 	8.0 	0
Seletar Club 	0 	5.5 	0
Rotan 	0 	5.0 	0
Hazel 	0 	5.0 	1
Sunshine 	0 	8.0 	1
Veeragoo 	0 	8.0 	0
Nee Soon 	0 	3.5 	0
